SUB_DIST_C,DISTRICT,STATE,TYPE,NAME,CEN_2001,x,y
Ramsar,Barmer,Rajasthan,village,RATHORON KA TALA,"0811500583088637",70.7070916105,25.5321377497
Siwana,Barmer,Rajasthan,village,GOLIYA,"0811500580087640",72.6547495736,25.6289062620
Gudha Malani,Barmer,Rajasthan,village,BHUKAN THANSINGH,"0811500581087890",72.0136724964,25.6870371776
Asind,Bhilwara,Rajasthan,village,BHOJAGARH,"0812200627094566",74.2369118309,25.8005125111
Baytoo,Barmer,Rajasthan,village,JHOPANIYAON KI DHANI,"0811500578087062",72.1587119354,26.1408319823
Baytoo,Barmer,Rajasthan,village,PEERONI SAIYON KI DHANI,"0811500578087068",72.1052676496,26.1486014637
Baytoo,Barmer,Rajasthan,village,DERAMONI POTLIYON KI DHANI,"0811500578086930",71.7919176514,25.9313479382
Nasirabad,Ajmer,Rajasthan,village,PHARKIYA,"0811900611092100",74.8281100071,26.4447002148
Kishangarh,Ajmer,Rajasthan,village,BHAVASA,"0811900606091532",75.1496825811,26.4659680689
Peesangan,Ajmer,Rajasthan,village,BHAGWANPURA,"0811900608091648",74.4636411038,26.4436050699
Kishangarh,Ajmer,Rajasthan,village,BHUNWARA,"0811900606091494",74.8796416939,26.4601112816
Kishangarh,Ajmer,Rajasthan,village,JUGALIPURA,"0811900606091531",75.1330051577,26.4783384018
Ajmer,Ajmer,Rajasthan,village,KAKLANA,"0811900607091635",74.6275289093,26.3304840712
Beawar,Ajmer,Rajasthan,village,AMARPURA,"0811900609091799",74.2475592000,26.0283097332
Beawar,Ajmer,Rajasthan,village,GARAD KA  BARIYA,"0811900609091807",74.1763878557,26.0294243463
Beawar,Ajmer,Rajasthan,village,RAMPURA,"0811900609091815",74.2295707327,26.0320577695
Beawar,Ajmer,Rajasthan,village,THIKARANA MENDRATAN,"0811900609091751",74.2707614796,26.0975090098
Ajmer,Ajmer,Rajasthan,village,LESWA,"0811900607091600",74.4112276576,26.4735739675
Peesangan,Ajmer,Rajasthan,village,GOVINDGARH,"0811900608091643",74.3729738539,26.4553136389
